mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.39952	0.30132	0.01086	0.81611	0.94075	0.06477	0.05584	0.26155	0.10125	0.02139	0.01275	0.10138	0.01571	0.38898	0.31957
0.31933	0.18706	0.01104	0.8013	0.94148	0.06121	0.05684	0.26294	0.09564	0.01872	0.01288	0.09044	0.01507	0.35108	0.29674
0.45295	0.32006	0.01192	0.78379	0.9395	0.06536	0.0577	0.24051	0.09302	0.01815	0.01223	0.09528	0.01499	0.40949	0.24867
0.40094	0.22952	0.01108	0.78099	0.94105	0.06605	0.06124	0.24917	0.09889	0.017	0.01259	0.09011	0.01525	0.32412	0.29287
0.36027	0.23988	0.01001	0.77412	0.93998	0.06388	0.06056	0.24672	0.10098	0.01562	0.01232	0.08951	0.01424	0.39408	0.29788
0.36358	0.30078	0.01029	0.8245	0.94144	0.06662	0.05994	0.25257	0.09561	0.01446	0.01197	0.09655	0.01415	0.36968	0.28225
0.44729	0.3396	0.00987	0.74979	0.94039	0.06545	0.06227	0.24305	0.09312	0.01564	0.01225	0.09118	0.01439	0.40461	0.25586
0.34226	0.28549	0.00972	0.76585	0.94007	0.06209	0.06036	0.24786	0.09773	0.01416	0.01294	0.10354	0.01365	0.40549	0.25246
0.40761	0.31241	0.00986	0.80214	0.93962	0.06186	0.05979	0.25087	0.09393	0.01415	0.01188	0.09088	0.01378	0.37287	0.26922
0.37293	0.28914	0.01002	0.7832	0.94008	0.06124	0.06101	0.24139	0.1031	0.01397	0.0116	0.09531	0.01317	0.41015	0.25474
0.48132	0.38741	0.00938	0.81559	0.94263	0.06164	0.06276	0.23171	0.09925	0.01267	0.01099	0.085	0.01364	0.32676	0.28344
0.36929	0.30511	0.0093	0.81051	0.94154	0.06392	0.06124	0.24562	0.09931	0.01326	0.01061	0.0844	0.01212	0.36221	0.25149
0.37839	0.26887	0.00925	0.80971	0.94246	0.06109	0.06331	0.23063	0.09899	0.01276	0.01209	0.08295	0.0127	0.36875	0.25862
0.46399	0.33476	0.0097	0.80325	0.94189	0.06354	0.06336	0.23049	0.09612	0.01195	0.01183	0.08315	0.01222	0.38773	0.28376
0.44328	0.3332	0.00854	0.80021	0.94181	0.06439	0.06096	0.22758	0.09761	0.01196	0.01144	0.0903	0.01218	0.36765	0.23752
0.42095	0.37535	0.00847	0.80857	0.94024	0.06033	0.06299	0.23874	0.10068	0.01305	0.01009	0.09311	0.01213	0.3631	0.26963
0.46234	0.33212	0.00835	0.83078	0.94197	0.06302	0.06052	0.2284	0.10579	0.01191	0.0103	0.08731	0.0111	0.34283	0.30744
0.35403	0.2705	0.00782	0.76351	0.94026	0.06378	0.0606	0.24537	0.09792	0.01142	0.01053	0.1017	0.0114	0.34012	0.29134
0.46772	0.31878	0.0083	0.80204	0.94139	0.06319	0.06294	0.22484	0.10257	0.01135	0.00985	0.08015	0.01196	0.29355	0.29774
0.34	0.26729	0.00859	0.79482	0.94023	0.06197	0.06261	0.24303	0.105	0.01098	0.01005	0.08488	0.01144	0.3487	0.24664
