mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.60123	0.49794	0.04756	0.62169	0.51406	0.07869	0.08714	0.01416	0.0247	0.04735	0.06969	0.37857	0.05021	0.43806	0.76037
0.58251	0.48063	0.04628	0.58964	0.49852	0.08159	0.07375	0.01281	0.01754	0.04728	0.06931	0.37426	0.0486	0.40308	0.75841
0.5524	0.47214	0.04621	0.45265	0.47972	0.08391	0.07259	0.01368	0.01715	0.04837	0.06833	0.3663	0.04836	0.31385	0.74235
0.45926	0.41425	0.04667	0.46958	0.40781	0.08411	0.07365	0.01425	0.01821	0.04687	0.06987	0.35193	0.04739	0.21583	0.73366
0.44217	0.4319	0.04543	0.53446	0.38231	0.07847	0.08238	0.01498	0.02052	0.0453	0.07058	0.32831	0.04837	0.24886	0.73264
0.39584	0.34157	0.04651	0.51037	0.28484	0.08105	0.0685	0.01546	0.02086	0.04635	0.0673	0.30148	0.04686	0.27616	0.6899
0.56181	0.47804	0.04483	0.54448	0.22387	0.08672	0.0648	0.01344	0.02026	0.04563	0.06976	0.26708	0.0482	0.24933	0.66429
0.38967	0.2954	0.04406	0.48216	0.18462	0.07903	0.06307	0.01557	0.02294	0.04733	0.06697	0.23773	0.04953	0.2287	0.55162
0.43037	0.33857	0.04586	0.41602	0.15707	0.07784	0.07122	0.01616	0.01915	0.04754	0.06364	0.21192	0.0478	0.21521	0.47906
0.3576	0.36526	0.04416	0.50944	0.13183	0.07939	0.0715	0.01672	0.01715	0.04648	0.06591	0.22673	0.0479	0.2404	0.44127
0.40978	0.33268	0.04398	0.43508	0.10546	0.07561	0.06926	0.02165	0.01749	0.04676	0.06773	0.17703	0.04795	0.22912	0.41667
0.35974	0.28995	0.04455	0.41149	0.08914	0.07685	0.06378	0.01746	0.01662	0.04622	0.06626	0.22016	0.04968	0.21036	0.39709
0.3062	0.21543	0.04385	0.39728	0.07464	0.06755	0.06336	0.01947	0.02122	0.04468	0.06558	0.16072	0.04748	0.23033	0.36958
0.28959	0.2901	0.04142	0.37387	0.06309	0.06867	0.06314	0.02094	0.02841	0.04763	0.06625	0.17899	0.04615	0.23251	0.36359
