mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.45351	0.37668	0.0466	1.0149	0.28131	0.05314	0.04966	0.04239	0.02542	0.04649	0.20545	0.37095	0.051	1.75648	0.72261
0.47073	0.37388	0.04726	1.00865	0.27978	0.05146	0.05134	0.04403	0.02644	0.04664	0.20958	0.37364	0.0493	0.94487	0.71928
0.47848	0.40295	0.04598	1.00455	0.28758	0.04967	0.05163	0.04309	0.02724	0.04648	0.212	0.34887	0.04869	2.13627	0.72463
0.47359	0.41694	0.04683	1.50894	0.30866	0.05007	0.05188	0.04594	0.02842	0.0458	0.21254	0.35718	0.0489	0.95942	0.72541
0.45847	0.40053	0.04721	0.93718	0.38327	0.04995	0.05089	0.0513	0.02954	0.04647	0.21352	0.32974	0.04929	1.96421	0.71272
0.4412	0.42649	0.04488	1.05846	0.32278	0.05188	0.05032	0.04838	0.02697	0.04562	0.21714	0.37157	0.04981	1.10563	0.72893
0.45443	0.44377	0.0451	1.16879	0.38097	0.05314	0.05079	0.05204	0.02696	0.04568	0.22097	0.3345	0.04724	1.96265	0.72732
0.43602	0.38632	0.04501	1.51743	0.36932	0.05317	0.04866	0.04998	0.02636	0.04628	0.21884	0.339	0.04562	0.94785	0.74423
0.48393	0.43485	0.04399	1.63525	0.36627	0.05224	0.04852	0.04599	0.0264	0.04512	0.21948	0.33231	0.04612	2.02372	0.74596
0.44431	0.43422	0.04484	1.7611	0.38679	0.05173	0.04861	0.04494	0.02856	0.04658	0.22491	0.37156	0.04676	1.20976	0.75969
0.42362	0.31889	0.04441	0.91635	0.40651	0.05171	0.0482	0.04889	0.02758	0.04624	0.23175	0.26844	0.04633	1.19448	0.75729
0.44933	0.35848	0.04488	0.94918	0.4325	0.05166	0.04798	0.04435	0.02592	0.04607	0.21583	0.32557	0.04712	1.84089	0.74934
0.43949	0.38692	0.04426	1.76585	0.39411	0.05214	0.0477	0.04332	0.02434	0.04574	0.21765	0.35467	0.04625	1.25158	0.75518
0.46393	0.42831	0.04276	1.10562	0.36334	0.05292	0.04936	0.04455	0.03046	0.04624	0.22257	0.33774	0.04628	0.95651	0.72702
0.44839	0.37794	0.04482	0.89095	0.44184	0.0519	0.04831	0.04926	0.02853	0.04563	0.22499	0.35256	0.04672	1.70775	0.72968
0.4732	0.39146	0.04376	1.53891	0.39037	0.05305	0.04811	0.04502	0.0318	0.04671	0.21391	0.33783	0.04655	1.61869	0.74709
0.47168	0.41567	0.04129	1.92065	0.35063	0.05291	0.04787	0.04619	0.02747	0.04549	0.20811	0.4061	0.04576	1.68368	0.74724
0.44246	0.35635	0.04109	0.96653	0.39488	0.05125	0.04621	0.04649	0.03411	0.04601	0.21281	0.36345	0.04447	1.21323	0.74103
0.47572	0.42272	0.03922	1.09303	0.3648	0.05091	0.04662	0.0477	0.02876	0.04517	0.21135	0.39253	0.04328	2.03394	0.73358
0.46404	0.44707	0.03909	0.9847	0.33883	0.04753	0.04724	0.04285	0.02946	0.04459	0.20867	0.3915	0.04411	1.45848	0.71901
0.45354	0.44246	0.03606	0.97887	0.3597	0.04791	0.04664	0.04873	0.03538	0.04512	0.21941	0.35748	0.04425	1.23119	0.71645
0.48748	0.39033	0.03596	1.13477	0.3937	0.04445	0.04664	0.05012	0.03255	0.0452	0.21479	0.3596	0.04252	1.26087	0.72698
0.4164	0.41609	0.03292	1.08687	0.38056	0.04547	0.04583	0.05069	0.0341	0.04407	0.21952	0.38081	0.04393	1.66922	0.72716
0.43346	0.41187	0.03139	1.10271	0.3987	0.04437	0.04549	0.05241	0.03988	0.04535	0.22564	0.3914	0.04182	1.10809	0.72323
0.50164	0.42449	0.02954	1.34631	0.37471	0.04173	0.04316	0.05406	0.03468	0.04276	0.23449	0.43187	0.04147	1.1455	0.71674
0.49224	0.40923	0.02536	1.0506	0.35387	0.04108	0.0424	0.0519	0.03759	0.04272	0.23719	0.39668	0.04019	0.99216	0.71067
0.43726	0.37742	0.02379	1.03103	0.37185	0.03927	0.04203	0.05777	0.03111	0.0421	0.23118	0.37121	0.03997	0.94677	0.73458
0.57266	0.44655	0.02001	1.52099	0.36496	0.03685	0.04139	0.05266	0.03484	0.04012	0.23706	0.3926	0.03752	1.15273	0.73224
0.48821	0.39273	0.01794	1.1327	0.35929	0.03608	0.03955	0.0496	0.03536	0.04089	0.22822	0.3155	0.0363	0.99186	0.7211
0.54848	0.44403	0.01721	2.03328	0.34106	0.03654	0.03827	0.05212	0.03515	0.0396	0.23254	0.3776	0.03457	1.73071	0.72466
0.48559	0.42553	0.01662	0.93883	0.34662	0.03412	0.03798	0.04901	0.03391	0.03714	0.22477	0.4041	0.03417	0.95793	0.74143
0.46903	0.43918	0.01519	0.97055	0.36033	0.03103	0.0353	0.04846	0.03374	0.03607	0.21469	0.38943	0.03115	0.96054	0.72955
0.55272	0.47123	0.01459	1.24767	0.3534	0.02897	0.0343	0.05153	0.03202	0.03566	0.22194	0.4855	0.02982	1.80026	0.75826
0.51392	0.38002	0.01448	1.79252	0.35179	0.02999	0.03328	0.04675	0.03262	0.03411	0.21986	0.3759	0.02832	1.022	0.70591
0.49714	0.42459	0.01375	0.98582	0.35504	0.02822	0.02929	0.04737	0.03007	0.0334	0.21955	0.42013	0.02595	1.0835	0.73438
0.3599	0.40463	0.01276	1.35188	0.32621	0.02613	0.02758	0.04815	0.02816	0.03256	0.21857	0.40093	0.02288	1.55797	0.74611
0.4333	0.44274	0.01276	1.52578	0.36129	0.02474	0.02549	0.0452	0.02875	0.03048	0.21564	0.45606	0.0225	1.20842	0.72962
0.55795	0.45752	0.01261	0.94006	0.35763	0.02439	0.02501	0.04949	0.03116	0.02737	0.21529	0.48875	0.02059	1.06726	0.71178
0.49504	0.44358	0.01164	0.99535	0.3379	0.02232	0.02263	0.04945	0.02976	0.02617	0.21303	0.45906	0.01967	1.82286	0.72008
0.48486	0.42887	0.01173	1.30738	0.34709	0.0237	0.02239	0.04808	0.02951	0.02398	0.20875	0.41261	0.01928	1.98298	0.71945
0.42987	0.41072	0.01122	1.69168	0.33652	0.02443	0.0217	0.05171	0.02949	0.02241	0.20541	0.42286	0.01731	1.06629	0.72635
0.42527	0.38841	0.01122	1.52766	0.35004	0.02394	0.02078	0.05441	0.0293	0.01994	0.2029	0.42602	0.01609	1.5012	0.73766
0.39408	0.34733	0.01113	1.66666	0.35974	0.02209	0.01868	0.05694	0.03413	0.01872	0.20118	0.41859	0.01619	1.08997	0.73122
0.5856	0.40856	0.01061	1.04969	0.3525	0.02078	0.01706	0.04726	0.03349	0.01746	0.20619	0.48082	0.0158	0.9302	0.71754
0.37426	0.36125	0.00994	0.95881	0.35218	0.02049	0.01711	0.05164	0.02733	0.01739	0.20492	0.46733	0.0156	0.95954	0.73264
0.40403	0.31129	0.01091	1.55013	0.34243	0.02058	0.01599	0.04999	0.02957	0.01618	0.20819	0.43461	0.0147	1.95494	0.72702
0.39104	0.35501	0.01043	0.95749	0.34176	0.02116	0.0151	0.04747	0.03104	0.01549	0.20087	0.42745	0.01442	0.96839	0.72821
0.5666	0.39586	0.00991	1.06899	0.33666	0.02255	0.01433	0.04937	0.03126	0.01463	0.20078	0.43662	0.01322	0.94525	0.72252
0.49808	0.401	0.01005	1.03326	0.34453	0.02033	0.01405	0.04796	0.02858	0.01483	0.21079	0.39741	0.01337	1.17414	0.73844
0.41035	0.34386	0.00952	1.0356	0.32777	0.02143	0.0148	0.04503	0.02939	0.01378	0.20324	0.37833	0.01341	1.20228	0.72609
0.4149	0.36022	0.00943	1.03458	0.32523	0.01999	0.01466	0.04561	0.02377	0.01338	0.20609	0.40641	0.01322	1.98049	0.73996
0.46199	0.3797	0.00951	1.12474	0.33214	0.01979	0.0133	0.04927	0.02908	0.01337	0.19863	0.44893	0.0132	0.96772	0.7491
0.35956	0.36429	0.0092	0.93281	0.35493	0.02124	0.01423	0.05431	0.0278	0.01411	0.2012	0.42416	0.01213	2.15487	0.74481
0.39492	0.36864	0.00926	0.97131	0.33618	0.0176	0.01274	0.05246	0.02963	0.01263	0.20158	0.44195	0.01225	1.79462	0.74514
0.40098	0.42464	0.00875	0.95582	0.39222	0.01942	0.01307	0.04806	0.03035	0.01219	0.20104	0.49872	0.01198	1.98809	0.73939
0.36398	0.34734	0.00916	0.94636	0.38242	0.01823	0.0128	0.05425	0.02585	0.01255	0.20672	0.42409	0.0126	1.84427	0.72129
0.3989	0.41783	0.00884	1.05406	0.3611	0.01886	0.01266	0.05232	0.02967	0.0121	0.19921	0.47433	0.01226	1.39126	0.74117
0.43961	0.3829	0.00903	1.00264	0.35576	0.01804	0.01362	0.04998	0.02839	0.01203	0.20132	0.4557	0.01194	1.04639	0.76295
0.34267	0.35161	0.00843	1.01988	0.35964	0.01853	0.01255	0.05021	0.02842	0.01126	0.20658	0.49639	0.01254	1.74824	0.76817
0.39151	0.3383	0.00851	1.14779	0.3843	0.01878	0.01197	0.05533	0.02696	0.01165	0.21087	0.46321	0.01227	2.05057	0.75886
0.34787	0.33446	0.00915	0.99215	0.35135	0.01676	0.01175	0.06164	0.029	0.01239	0.19804	0.42447	0.0113	1.40243	0.7619
0.46491	0.39386	0.00882	1.00349	0.38207	0.01679	0.01119	0.05188	0.0297	0.01048	0.19393	0.46613	0.01154	1.16059	0.7602
0.37705	0.3598	0.00781	0.95692	0.36183	0.01666	0.01195	0.05648	0.02966	0.01212	0.19709	0.45441	0.01121	1.61494	0.76516
0.39995	0.31316	0.00833	1.19326	0.38552	0.01719	0.01134	0.05309	0.02894	0.01163	0.21116	0.4615	0.0108	1.17467	0.76082
0.3831	0.31728	0.00801	0.92218	0.33692	0.01617	0.01126	0.05606	0.03021	0.012	0.20676	0.43833	0.01174	1.10151	0.76252
0.43743	0.34832	0.0081	0.92883	0.37658	0.01664	0.01075	0.05027	0.02847	0.01083	0.20924	0.52085	0.01126	0.94421	0.73837
0.40918	0.33473	0.00769	0.96848	0.36643	0.01672	0.0107	0.05034	0.02705	0.01072	0.21222	0.46772	0.01143	2.12073	0.76299
0.35016	0.32619	0.00722	1.4684	0.36152	0.01647	0.01074	0.05589	0.02699	0.01069	0.2103	0.47907	0.01123	0.94201	0.78158
0.41255	0.34272	0.00799	1.31688	0.35808	0.0167	0.01048	0.05385	0.02812	0.01116	0.20459	0.43929	0.01105	1.13587	0.75476
0.38541	0.33669	0.00761	0.98962	0.38539	0.01746	0.01008	0.05603	0.02997	0.01119	0.22187	0.47783	0.00978	1.07846	0.72104
0.38643	0.31133	0.0073	0.98685	0.34713	0.01752	0.00987	0.05603	0.02564	0.01083	0.21388	0.39898	0.01111	1.98198	0.74754
0.37026	0.35657	0.00767	1.02485	0.35104	0.01507	0.00966	0.06129	0.02917	0.00974	0.20904	0.44124	0.0105	1.53568	0.77997
0.39047	0.34005	0.0072	1.0116	0.36052	0.01442	0.0103	0.06404	0.02907	0.01006	0.2034	0.47192	0.01043	1.06254	0.75061
0.3626	0.31875	0.00698	1.31751	0.39656	0.01484	0.01009	0.06457	0.02874	0.00973	0.20877	0.4153	0.01099	0.95745	0.75071
0.41941	0.34461	0.00726	1.01561	0.37029	0.01523	0.00961	0.05567	0.0306	0.00977	0.21128	0.43723	0.01063	1.17453	0.75302
0.39187	0.34086	0.00764	1.18411	0.3584	0.01366	0.01088	0.05353	0.02906	0.00926	0.21568	0.43813	0.00957	1.64757	0.74949
0.3444	0.32519	0.0075	1.01854	0.34974	0.01318	0.00958	0.05619	0.03361	0.00938	0.2108	0.46513	0.01031	1.6825	0.74173
0.43975	0.39169	0.00718	0.9512	0.39828	0.0148	0.00936	0.05049	0.02978	0.00948	0.21744	0.53467	0.00997	1.27155	0.78462
0.37522	0.32955	0.00703	0.95199	0.36627	0.01427	0.00976	0.04951	0.02776	0.00849	0.21869	0.47181	0.01003	1.13277	0.73782
0.36806	0.35052	0.00688	1.21598	0.37663	0.01576	0.00983	0.05182	0.02965	0.00876	0.216	0.4339	0.01031	0.9849	0.75108
0.39925	0.31982	0.00704	1.00327	0.35651	0.01642	0.00877	0.03826	0.02728	0.00871	0.21491	0.48627	0.01113	1.79819	0.77081
0.39854	0.33027	0.00705	1.18358	0.39207	0.01367	0.00943	0.03985	0.02813	0.00863	0.21771	0.4506	0.01029	1.11541	0.78556
0.37122	0.31152	0.00684	0.98175	0.3999	0.01638	0.00893	0.04605	0.02984	0.00867	0.21822	0.42092	0.01041	1.03058	0.76117
0.31893	0.29843	0.00644	1.00346	0.37365	0.01474	0.00921	0.04073	0.02602	0.00804	0.20655	0.52563	0.01077	1.67631	0.74911
0.36376	0.29513	0.00572	1.03147	0.37452	0.01291	0.00902	0.04934	0.02992	0.00887	0.2087	0.50029	0.01115	1.01973	0.7895
0.40244	0.32438	0.00659	0.98384	0.36732	0.01362	0.00811	0.04409	0.02848	0.00812	0.21332	0.49679	0.01047	0.94415	0.73812
0.41654	0.36825	0.00582	1.0008	0.36555	0.01443	0.00888	0.05113	0.02845	0.00844	0.22386	0.49666	0.01018	1.1103	0.75025
0.39866	0.36312	0.00582	1.13731	0.40743	0.01375	0.00912	0.05108	0.03116	0.00848	0.21746	0.50214	0.00932	1.09203	0.78419
0.437	0.38831	0.00556	1.00814	0.45646	0.0148	0.00892	0.05011	0.02896	0.00854	0.20937	0.52491	0.00987	1.28097	0.75506
0.39616	0.3216	0.00606	0.96814	0.38596	0.01435	0.00986	0.04544	0.02804	0.00826	0.20482	0.45969	0.00999	1.12143	0.77488
0.3887	0.3084	0.00587	0.97974	0.45147	0.01543	0.00897	0.05205	0.0311	0.00872	0.20439	0.47165	0.00983	1.04453	0.75238
0.36118	0.34383	0.00588	0.99632	0.41771	0.01556	0.00955	0.05366	0.03015	0.00804	0.20855	0.48349	0.00936	0.94766	0.76479
