mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.03902	0.0463	0.00383	0.02873	0.05833	0.02073	0.00769	0.00591	0.00711	0.00366	0.0151	0.01889	0.00442	0.04773	0.06612
0.01915	0.00946	0.0026	0.03851	0.08846	0.00661	0.00498	0.0036	0.00663	0.00372	0.00345	0.06655	0.00303	0.02294	0.03266
0.03201	0.02451	0.00236	0.05091	0.07358	0.0086	0.00405	0.00263	0.00333	0.00181	0.00901	0.04557	0.00191	0.03323	0.05231
0.0174	0.01428	0.00118	0.04539	0.10084	0.00812	0.00609	0.00327	0.00428	0.00163	0.0088	0.03646	0.00175	0.03149	0.04878
0.01642	0.01612	0.00087	0.03506	0.08974	0.00892	0.00887	0.00303	0.00558	0.0013	0.00702	0.03522	0.00215	0.02107	0.05754
0.01601	0.01856	0.00109	0.06284	0.09766	0.01914	0.00613	0.00655	0.00844	0.00115	0.02951	0.04997	0.00392	0.04553	0.0817
0.02643	0.01902	0.0014	0.03872	0.08764	0.01139	0.00645	0.00546	0.00337	0.00091	0.01153	0.03809	0.0021	0.02861	0.04127
0.02585	0.02385	0.00178	0.05331	0.07496	0.01004	0.00999	0.00597	0.00589	0.0015	0.00612	0.04733	0.00092	0.03606	0.06505
0.02068	0.02418	0.00178	0.04974	0.09142	0.00803	0.01255	0.00384	0.00566	0.00274	0.01964	0.02124	0.00132	0.04055	0.05378
0.03734	0.0289	0.0013	0.04976	0.09201	0.00487	0.00578	0.00305	0.00481	0.00229	0.01058	0.03764	0.00199	0.0363	0.06354
0.02009	0.02707	0.00107	0.03203	0.08857	0.01246	0.0085	0.00414	0.00765	0.00133	0.01012	0.03537	0.00172	0.02297	0.03326
0.03442	0.02938	0.00122	0.04106	0.09021	0.0197	0.02522	0.00386	0.00728	0.00155	0.00826	0.05259	0.00112	0.03233	0.04831
0.02681	0.02262	0.00102	0.04169	0.08147	0.00695	0.01449	0.00731	0.00821	0.00163	0.00631	0.03643	0.00272	0.02479	0.04657
0.02805	0.03076	0.00231	0.0341	0.05075	0.00888	0.00829	0.00581	0.00647	0.00155	0.00664	0.02817	0.00162	0.02419	0.0373
0.03094	0.02306	0.00174	0.02797	0.07216	0.01126	0.00725	0.0042	0.00443	0.00114	0.00713	0.03588	0.00132	0.01708	0.04038
inf	0.01266	0.00141	0.02891	0.07405	0.00892	0.00741	0.00444	0.00725	0.00143	0.0118	0.04236	0.001	0.02616	0.07371
0.03191	0.02519	0.00145	0.02978	0.07204	0.01027	0.00722	0.00278	0.00667	0.00063	0.01239	0.04572	0.00084	0.02131	0.04134
0.02122	0.02387	0.00302	0.04545	0.07222	0.01176	0.01046	0.00511	0.00898	0.00164	0.0112	0.02951	0.00176	0.03267	0.0485
0.02908	0.02275	0.00143	0.02759	0.0794	0.01607	0.01449	0.01468	0.00517	0.00097	0.0069	0.0544	0.00196	0.01574	0.03153
0.01953	0.01895	0.00141	0.04468	0.11228	0.0293	0.01143	0.01576	0.00519	0.00106	0.00971	0.06826	0.00171	0.03694	0.06309
0.03152	0.02891	0.00143	0.03614	0.09451	0.00642	0.00582	0.00606	0.00671	0.00101	0.00443	0.05367	0.00161	0.02545	inf
0.024	0.02657	0.00146	0.0348	0.08755	0.00463	0.01147	0.00593	0.00769	0.00107	0.00838	0.05039	0.00313	0.02257	0.04012
0.01738	0.02367	0.00205	0.03052	0.07508	0.00662	0.00786	0.0048	0.0051	0.00113	0.0101	0.04488	0.00098	0.01667	0.04015
0.01576	0.01391	0.00101	0.03526	0.07359	0.00803	0.01302	0.0098	0.0033	0.00125	0.00628	0.05325	0.00084	0.02768	0.04791
0.01594	0.01511	0.00133	0.02371	0.05332	0.01998	0.01703	0.00753	0.00612	0.00079	0.00455	0.04668	0.00229	0.01195	0.0307
0.01897	0.01969	0.00108	0.04196	0.07768	0.01192	0.00686	0.00626	0.00686	0.0018	0.00607	0.04166	0.00112	0.03221	0.05474
0.0323	0.0263	0.00125	0.0498	0.05294	0.00884	0.00384	0.00553	0.00579	0.00111	0.00728	0.02288	0.00172	0.03713	0.0797
0.02763	0.01981	0.00191	0.03859	0.06969	0.0143	0.02019	0.00851	0.00692	0.00096	0.00813	0.03875	0.00194	0.02786	0.03756
0.01448	0.01267	0.00125	0.0324	0.09166	0.00794	0.00655	0.00463	0.00483	0.0009	0.00352	0.04545	0.00179	0.02829	0.04276
0.02399	0.01388	0.00125	0.03217	0.08699	0.01297	0.01197	0.00449	0.00453	0.00164	0.00933	0.03187	0.00166	0.02298	0.04949
0.02792	0.03397	0.00134	0.02962	0.10032	0.01183	0.0112	0.00475	0.00445	0.00181	0.01805	0.07298	0.00203	0.01672	0.02775
0.01677	0.01818	0.00183	0.04416	0.10476	0.00709	0.0113	0.00692	0.00474	0.00134	0.01752	0.04445	0.00276	0.03543	0.04255
0.01986	0.03105	0.00146	0.05773	0.09111	0.01224	0.01722	0.00423	0.00673	0.00156	0.00967	0.03569	0.00167	0.04715	0.056
0.02077	0.01874	0.00096	0.04375	0.05979	0.00953	0.01075	0.00671	0.00479	0.00098	0.00783	0.03602	0.00134	0.02768	0.04191
0.01832	0.02843	0.00123	0.03014	0.06504	0.00135	0.00056	0.00304	0.0088	0.00178	0.01291	0.0307	0.0023	0.01832	0.03429
0.0435	0.02917	0.00073	0.03845	0.087	0.00326	0.0129	0.00085	0.00836	0.00146	0.00411	0.0377	0.00183	0.03597	0.03533
0.02079	0.01448	0.00097	0.05731	0.11647	0.01447	0.01743	0.00384	0.00858	0.00139	0.01147	0.04678	0.00132	0.05119	0.03634
0.0271	0.01346	0.00065	0.04359	0.06291	0.00323	0.00851	0.00157	0.00747	0.00186	0.00732	0.03471	0.00095	0.02686	0.05278
0.02887	0.01968	0.00115	0.06314	0.11143	0.0054	0.00241	0.003	0.00589	0.00163	0.01651	0.03094	0.00133	0.05828	0.04907
0.01205	0.0201	0.00095	0.04527	0.08072	0.00487	0.00113	0.0067	0.00701	0.00162	0.02018	0.03263	0.00196	0.0365	0.04575
0.02144	0.01908	0.00072	0.03987	0.06126	0.00367	0.0038	0.00305	0.00342	0.00168	0.00975	0.03193	0.0029	0.02801	0.0443
0.02482	0.01502	0.00072	0.02135	0.06832	0.00186	0.00788	0.00211	0.00527	0.00279	0.00675	0.02845	0.00103	0.01476	0.02291
0.01784	0.01154	0.00201	0.05134	0.08461	0.00275	0.00252	0.00317	0.00366	0.00221	0.00559	0.02275	0.0029	0.04238	0.04898
0.02002	0.01446	0.00077	0.02818	0.08053	0.00323	0.00421	0.00239	0.00612	0.00262	0.01609	0.03405	0.00167	0.02179	0.0281
0.02297	0.01443	0.00147	0.03809	0.05842	0.00955	0.01326	0.00238	0.00656	0.00415	0.0097	0.04618	0.00257	0.0233	0.02927
0.01636	0.01851	0.00083	0.04507	0.1065	0.00607	0.00712	0.00556	0.01059	0.00256	0.03597	0.05003	0.00148	0.03519	0.05008
0.02322	0.00718	0.00113	0.03207	0.07191	0.00104	0.00211	0.00173	0.00516	0.00409	0.01195	0.03535	0.00147	0.02403	0.04733
0.02004	0.01881	0.00074	0.0225	0.06952	0.00126	0.00495	0.00522	0.00552	0.00285	0.01523	0.05048	0.00102	0.01003	0.02838
0.01605	0.01063	0.00132	0.01835	0.05041	0.00722	0.00607	0.00264	0.00397	0.00295	0.0084	0.0306	0.00136	0.01313	0.02413
0.02489	0.01627	0.00143	0.04527	0.05969	0.00112	0.00419	0.0042	0.00543	0.00171	0.0046	0.02993	0.00093	0.0311	0.05756
0.02102	0.01844	0.00132	0.04505	0.08207	0.00284	0.00467	0.00179	0.00548	0.00274	0.0093	0.03039	0.00091	0.03536	0.05906
0.01722	0.01454	0.00095	0.0222	0.07127	0.00437	0.01051	0.00623	0.00475	0.00279	0.01454	0.0371	0.00298	0.01445	0.02563
0.03105	0.01957	0.00105	0.05245	0.1095	0.00579	0.00552	0.00701	0.00421	0.0017	0.01267	0.03588	0.00246	0.04662	0.04253
0.01673	0.01634	0.0009	0.03263	0.11188	0.0029	0.00225	0.00242	0.0038	0.00204	0.00333	0.03559	0.00266	0.02625	0.02354
0.019	0.01677	0.00078	0.01796	0.06048	0.00161	0.00902	0.00719	0.00843	0.00218	0.00646	0.02924	0.00107	0.01127	0.01776
0.01464	0.01482	0.00137	0.04208	0.07671	0.00206	0.00569	0.00281	0.00612	0.00198	0.0087	0.03018	0.00247	0.03544	0.05231
0.01405	0.01596	0.00099	0.03645	0.07679	0.00642	0.00573	0.00335	0.00318	0.00219	0.00345	0.03335	0.00216	0.03154	0.04624
0.00802	0.02113	0.00067	0.04057	0.09242	0.00735	0.02239	0.00996	0.0102	0.00222	0.00621	0.03552	0.00543	0.03306	0.03893
0.01534	0.01501	0.0011	0.05072	0.10099	0.00405	0.01637	0.00546	0.00965	0.00149	0.00305	0.04761	0.00171	0.04201	0.05244
0.01347	0.01407	0.00076	0.0357	0.07712	0.00126	0.00501	0.00314	0.00953	0.00336	0.00409	0.04502	0.00109	0.02322	0.04723
0.0155	0.01425	0.00096	0.03571	0.08331	0.00102	0.01046	0.0052	0.00629	0.00181	0.00211	0.04064	0.00134	0.02515	0.04312
0.0087	0.00986	0.00322	0.03883	0.10071	0.00296	0.01303	0.00253	0.00624	0.00189	0.00904	0.04651	0.00277	0.0319	0.04668
0.01659	0.00711	0.00121	0.03783	0.08978	0.0054	0.01326	0.00297	0.00736	0.0009	0.00388	0.04595	0.00217	0.02904	0.03803
0.01714	0.00898	0.00275	0.0371	0.07165	0.00311	0.00782	0.00284	0.00652	0.00147	0.00577	0.04738	0.00141	0.02641	0.04284
0.01639	0.01606	0.00063	0.03497	0.07894	0.00087	0.00628	0.00178	0.00741	0.00149	0.00271	0.03224	0.00126	0.02547	0.04795
0.02128	0.00888	0.0012	0.02352	0.05809	0.00246	0.01159	0.00095	0.00387	0.00131	0.00497	0.0389	0.00214	0.01537	0.03005
0.01506	0.01346	0.00137	0.02905	0.07461	0.00184	0.01186	0.00609	0.00396	0.00131	0.00453	0.03549	0.00108	0.0159	0.03585
0.01824	0.01517	0.00067	0.02389	0.06689	0.00387	0.00662	0.00233	0.00485	0.00161	0.0035	0.03284	0.00161	0.01197	0.0296
0.01694	0.01156	0.00162	0.04571	0.083	0.00305	0.00296	0.00169	0.00441	0.00219	0.00379	0.03627	0.00196	0.03943	0.05633
0.00894	0.00908	0.00153	0.04988	0.1154	0.00704	0.00757	0.00371	0.0086	0.00106	0.00864	0.04513	0.00211	0.04418	0.03964
