mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.43244	0.56538	0.03756	0.75307	0.93168	0.05408	0.04264	0.22388	0.08855	0.03009	0.01389	0.08033	0.00144	0.32592	0.28704
0.43534	0.50515	0.0274	0.79009	0.9307	0.05318	0.04083	0.22594	0.07682	0.03439	0.01484	0.09297	0.00211	0.30306	0.29447
0.39869	0.48597	0.02692	0.77113	0.93071	0.06101	0.04529	0.24186	0.08981	0.03315	0.00833	0.09177	0.00196	0.29352	0.3003
0.39884	0.46186	0.03267	0.75628	0.93383	0.04695	0.04928	0.24437	0.09232	0.03104	0.00778	0.13769	0.00185	0.29269	0.27881
0.43334	0.56036	0.0274	0.73315	0.93218	0.05058	0.03721	0.22719	0.08524	0.02898	0.01105	0.08976	0.0038	0.30858	0.31367
0.38962	0.4335	0.0292	0.82268	0.93333	0.04875	0.0419	0.23595	0.09794	0.03689	0.00339	0.12648	0.00153	0.3152	0.30293
0.43568	0.51039	0.03046	0.80163	0.93249	0.05148	0.0415	0.22183	0.08988	0.03473	0.01144	0.09593	0.00214	0.30905	0.28387
0.43034	0.50561	0.02938	0.81217	0.93363	0.04232	0.04183	0.22388	0.09535	0.02703	0.00558	0.14009	0.00132	0.3589	0.28516
0.44557	0.52981	0.02298	0.8292	0.93202	0.04008	0.0398	0.23712	0.10012	0.03042	0.01354	0.12139	0.00077	0.32841	0.29388
0.3961	0.46734	0.02849	0.79849	0.93317	0.04464	0.04371	0.2539	0.09396	0.03109	0.01217	0.08933	0.00159	0.2891	0.30463
0.44629	0.50811	0.02449	0.76712	0.93056	0.04372	0.03676	0.2534	0.09913	0.03238	0.01122	0.10703	0.00119	0.35665	0.313
0.41496	0.56075	0.02862	0.80992	0.93163	0.04152	0.04499	0.23248	0.09428	0.03075	0.0071	0.08325	0.0045	0.29723	0.30625
0.47429	0.6192	0.0227	0.74452	0.93152	0.04855	0.0412	0.20756	0.08146	0.03293	0.00427	0.09649	0.00179	0.31629	0.27875
0.39808	0.51501	0.02882	0.79091	0.9327	0.04336	0.04244	0.22993	0.08213	0.02797	0.00477	0.14713	0.00168	0.36607	0.28887
0.42618	0.57207	0.02063	0.821	0.93195	0.0417	0.04148	0.22582	0.08056	0.03487	0.01033	0.1022	0.00147	0.35645	0.2919
0.43248	0.62501	0.01818	0.77309	0.93086	0.04128	0.04947	0.2122	0.09717	0.03342	0.00781	0.0997	0.00452	0.39682	0.29933
0.43095	0.52578	0.02608	0.77537	0.93231	0.04434	0.04061	0.21346	0.09018	0.02956	0.00564	0.07929	0.00142	0.2973	0.30216
0.42482	0.54829	0.02247	0.76379	0.93308	0.03911	0.03667	0.20271	0.08405	0.02641	0.00273	0.06487	0.00156	0.3035	0.314
0.47599	0.58451	0.02438	0.77908	0.93298	0.03613	0.03805	0.19842	0.09429	0.02183	0.00863	0.08543	0.00253	0.32934	0.28552
0.45518	0.57636	0.01779	0.79928	0.93154	0.0484	0.03628	0.23563	0.08593	0.02844	0.00361	0.09752	0.00112	0.32041	0.30832
0.40703	0.45151	0.01912	0.77499	0.93403	0.04129	0.04469	0.24593	0.08343	0.02908	0.00333	0.10004	0.00103	0.32933	0.3116
0.42433	0.4858	0.01967	0.76537	0.93503	0.0499	0.04112	0.23973	0.09585	0.02868	0.00349	0.07424	0.00153	0.39086	0.2861
0.46594	0.49576	0.01624	0.7782	0.93538	0.03781	0.04238	0.25645	0.07713	0.02683	0.00391	0.11819	0.00272	0.32701	0.3044
