# f h(f)
0.000000000000000000e+00 inf
1.250000000000000000e-01 inf
2.500000000000000000e-01 inf
3.750000000000000000e-01 inf
5.000000000000000000e-01 inf
6.250000000000000000e-01 inf
7.500000000000000000e-01 inf
8.750000000000000000e-01 inf
1.000000000000000000e+00 inf
1.125000000000000000e+00 inf
1.250000000000000000e+00 inf
1.375000000000000000e+00 inf
1.500000000000000000e+00 inf
1.625000000000000000e+00 inf
1.750000000000000000e+00 inf
1.875000000000000000e+00 inf
2.000000000000000000e+00 inf
2.125000000000000000e+00 inf
2.250000000000000000e+00 inf
2.375000000000000000e+00 inf
2.500000000000000000e+00 inf
2.625000000000000000e+00 inf
2.750000000000000000e+00 inf
2.875000000000000000e+00 inf
3.000000000000000000e+00 inf
3.125000000000000000e+00 inf
3.250000000000000000e+00 inf
3.375000000000000000e+00 inf
3.500000000000000000e+00 inf
3.625000000000000000e+00 inf
3.750000000000000000e+00 inf
3.875000000000000000e+00 inf
4.000000000000000000e+00 inf
4.125000000000000000e+00 inf
4.250000000000000000e+00 inf
4.375000000000000000e+00 inf
4.500000000000000000e+00 inf
4.625000000000000000e+00 inf
4.750000000000000000e+00 inf
4.875000000000000000e+00 inf
5.000000000000000000e+00 inf
5.125000000000000000e+00 inf
5.250000000000000000e+00 inf
5.375000000000000000e+00 inf
5.500000000000000000e+00 inf
5.625000000000000000e+00 inf
5.750000000000000000e+00 inf
5.875000000000000000e+00 inf
6.000000000000000000e+00 inf
6.125000000000000000e+00 inf
6.250000000000000000e+00 inf
6.375000000000000000e+00 inf
6.500000000000000000e+00 inf
6.625000000000000000e+00 inf
6.750000000000000000e+00 inf
6.875000000000000000e+00 inf
7.000000000000000000e+00 inf
7.125000000000000000e+00 inf
7.250000000000000000e+00 inf
7.375000000000000000e+00 inf
7.500000000000000000e+00 inf
7.625000000000000000e+00 inf
7.750000000000000000e+00 inf
7.875000000000000000e+00 inf
8.000000000000000000e+00 inf
8.125000000000000000e+00 inf
8.250000000000000000e+00 inf
8.375000000000000000e+00 inf
8.500000000000000000e+00 inf
8.625000000000000000e+00 inf
8.750000000000000000e+00 inf
8.875000000000000000e+00 inf
9.000000000000000000e+00 inf
9.125000000000000000e+00 inf
9.250000000000000000e+00 inf
9.375000000000000000e+00 inf
9.500000000000000000e+00 inf
9.625000000000000000e+00 inf
9.750000000000000000e+00 inf
9.875000000000000000e+00 inf
1.000000000000000000e+01 inf
1.012500000000000000e+01 inf
1.025000000000000000e+01 6.431541957210402141e-21
1.037500000000000000e+01 5.564443804853006225e-21
1.050000000000000000e+01 5.171596102064790722e-21
1.062500000000000000e+01 4.860014444262994566e-21
1.075000000000000000e+01 4.396800653350178182e-21
1.087500000000000000e+01 4.045923642231359499e-21
1.100000000000000000e+01 3.755602897125773877e-21
1.112500000000000000e+01 3.177388858067739576e-21
1.125000000000000000e+01 2.815228444646871516e-21
1.137500000000000000e+01 2.801036357898729858e-21
1.150000000000000000e+01 2.672051227978768667e-21
1.162500000000000000e+01 2.542864155739314730e-21
1.175000000000000000e+01 2.528058712180769326e-21
1.187500000000000000e+01 2.285661727137228501e-21
1.200000000000000000e+01 1.896041946059354987e-21
1.212500000000000000e+01 1.923101316809784954e-21
1.225000000000000000e+01 1.951616204411323705e-21
1.237500000000000000e+01 1.974015713624803120e-21
1.250000000000000000e+01 1.739199290498733719e-21
1.262500000000000000e+01 1.507272081638159801e-21
1.275000000000000000e+01 1.545204191724291778e-21
1.287500000000000000e+01 1.526080292006476929e-21
1.300000000000000000e+01 1.466914674647346250e-21
1.312500000000000000e+01 1.376569333491953260e-21
1.325000000000000000e+01 1.427332936513721051e-21
1.337500000000000000e+01 1.692229734149955043e-21
1.350000000000000000e+01 3.024742823234496612e-21
1.362500000000000000e+01 4.139991048996644336e-21
1.375000000000000000e+01 3.335598627531256360e-21
1.387500000000000000e+01 2.706011020313441787e-21
1.400000000000000000e+01 2.190938606109712210e-21
1.412500000000000000e+01 1.582840503835240556e-21
1.425000000000000000e+01 1.106178251267631391e-21
1.437500000000000000e+01 8.327863783728942813e-22
1.450000000000000000e+01 7.175724290711451729e-22
1.462500000000000000e+01 6.441460297031994927e-22
1.475000000000000000e+01 5.774137773081779593e-22
1.487500000000000000e+01 5.450294830237283391e-22
1.500000000000000000e+01 5.334963982216449699e-22
1.512500000000000000e+01 4.930799047186097154e-22
1.525000000000000000e+01 4.515593171249563732e-22
1.537500000000000000e+01 4.116622515091282944e-22
1.550000000000000000e+01 3.691162600403028779e-22
1.562500000000000000e+01 3.318528266229002997e-22
1.575000000000000000e+01 3.183134061465293939e-22
1.587500000000000000e+01 3.133506402306102188e-22
1.600000000000000000e+01 3.134054424510546673e-22
1.612500000000000000e+01 2.928409149750154544e-22
1.625000000000000000e+01 2.672325304787946255e-22
1.637500000000000000e+01 2.352103499603998807e-22
1.650000000000000000e+01 2.304585251663894448e-22
1.662500000000000000e+01 2.303780664302809552e-22
1.675000000000000000e+01 2.214517282290534258e-22
1.687500000000000000e+01 2.002662534235838018e-22
1.700000000000000000e+01 1.716236690732135144e-22
1.712500000000000000e+01 1.717816929754489353e-22
1.725000000000000000e+01 1.644412268959228912e-22
1.737500000000000000e+01 1.445471568682940551e-22
1.750000000000000000e+01 1.308402471729000962e-22
1.762500000000000000e+01 1.211278579647091810e-22
1.775000000000000000e+01 1.204081996850977626e-22
1.787500000000000000e+01 1.159819255046359932e-22
1.800000000000000000e+01 1.089931547988141222e-22
1.812500000000000000e+01 1.018208255373261786e-22
1.825000000000000000e+01 9.616810036619420183e-23
