mass_1 mass_2 a_1 a_2 tilt_1 tilt_2 phi_12 phi_jl luminosity_distance dec ra theta_jn psi phase geocent_time
66.29185432606022 48.82050484950122 0.11695017055744299 0.3655518418495395 0.22258348407353887 2.1608293850864464 1.3853245924436324 2.2301460279535146 741.2833146657068 0.9341157415801523 3.2563006902305562 1.2528110440181568 2.7527615644763577 2.969267265840025 1126259462.3573458
74.27263211256408 33.393820957368646 0.48087205640744674 0.128985223132529 2.1638839501845886 1.085132237085983 2.365326168761025 0.043392246774745256 877.5886877990241 0.8098897008135526 3.517969927716251 2.0159589218680782 1.4227584653509382 1.900631417782282 1126259462.4328911
57.5745042391154 33.53985322098009 0.501682921475966 0.95408256902386 0.6664339322146238 2.4325900938008753 5.968039392754131 0.6576053042210809 990.6531043547752 0.6342576319114636 3.3449897532613186 1.5264448011112757 2.7112843287765864 2.4073265733512 1126259462.3739986
29.60940990676057 21.3483246606149 0.46062958662122494 0.28530038156079934 0.8329993092471483 1.2189822467763216 4.578656818544221 5.246187888707897 900.0418229532195 1.0929059952719409 3.838925066237138 1.4969631523226747 0.7989360785067847 5.504965805249609 1126259462.3542833
52.520276906604444 10.179069921763245 0.6139160018639543 0.5692646440189566 2.0136065648553942 1.1675825117706344 2.8500942041221604 5.075858378009545 872.5787949581714 -0.46839820384629677 0.10930288145219191 1.31140234090289 1.2778212145099883 4.61291120773533 1126259462.4210541
50.56428140625429 15.2845711378846 0.07188171263628465 0.9809947851458011 1.3373966136364241 1.2538034720431583 3.549283845008544 1.6030205643691042 664.0040733926376 -0.8803933182573936 0.06939021725475412 2.634572610096392 0.2086332827191639 1.3574019093217875 1126259462.5142176
77.11072235549713 13.55066333973493 0.5063434683686935 0.6252130972647765 1.552093997998075 1.54527856297144 5.080755211911618 1.6760321700663756 879.058258227466 -0.8996042685443579 6.125030303761886 1.213558985369156 1.5986309445750126 6.181612604239287 1126259462.3326285
25.46627040578972 13.566469193007277 0.07109260236939191 0.30884970218176633 1.8598450404842668 1.5926753765341093 0.5692133925041921 0.910021392268026 849.9347441854702 -0.9200843200789636 0.20700191886088015 2.148729276469762 2.82596905251854 4.341882273239194 1126259462.383506
55.57465192505502 39.69627592864448 0.22983118485433673 0.5304278798974422 2.1571541143046846 0.6531033453895535 3.046524865163864 2.8040103131638063 577.3708814627719 0.8818701265030616 3.236456586261539 1.6202962702091097 1.1084258587882176 4.4617595928823945 1126259462.346275
51.49695586622597 24.66194736576776 0.2168070792208719 0.737041394143707 0.5180957966368607 0.8421520708636242 2.136149902726486 1.813547311174968 932.2118135785231 0.7500915955243528 3.3335687642914333 1.8285211380696365 2.3067650500998886 3.1356751591763437 1126259462.4535482
28.383314423198065 13.143348847846966 0.4460214911424242 0.4166689801245316 2.5429395566081943 1.0002268656442481 3.077831765876488 2.967469566678859 986.3106948035336 0.5212025741140376 3.6003097751221693 1.3858918782113947 0.8825082257088716 4.32481441232063 1126259462.4599872
26.000158652776154 11.521933272792513 0.776493901420443 0.2580921757900235 2.0935953603842994 1.062751910038729 1.4898391237419093 5.039796741619118 928.3247368388016 -0.13846112966084637 1.9267155676262713 1.540519698282595 2.722295191950341 5.507521760559597 1126259462.470838
65.3428436712219 35.52525318195073 0.17502112594845423 0.3106433135153919 2.4399929247035295 0.7886618585663379 1.3022083239346276 4.139111318520704 959.1899093890664 -1.2078784174087618 0.6048346186645215 1.6824205479914514 2.685196984999824 3.1833687083270554 1126259462.408645
