mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.15027	0.15213	0.02906	0.00888	0.09075	0.11481	0.14231	0.01964	0.04674	0.03835	0.02088	0.09667	0.00894	0.00646	0.01054
0.06499	0.08167	0.02375	0.03575	0.08868	0.13745	0.14133	0.02105	0.02824	0.00619	0.01742	0.15868	0.00825	0.00833	0.00592
0.07303	0.06776	0.01561	0.01544	0.08769	0.16238	0.17292	0.02433	0.06351	0.01596	0.02917	0.10725	0.01234	0.01084	0.0066
0.05302	0.05082	0.00414	0.02178	0.07477	0.12048	0.20447	0.01326	0.04104	0.01055	0.01131	0.07731	0.01133	0.01353	0.01147
0.07015	0.05575	0.03461	0.04642	0.02142	0.13795	0.20916	0.03541	0.03937	0.01729	0.01673	0.05268	0.00694	0.01202	0.00963
0.07288	0.0351	0.00292	0.02538	0.00913	0.13912	0.1937	0.01497	0.06725	0.00443	0.00759	0.15686	0.01091	0.01668	0.01259
0.10575	0.11071	0.00481	0.02323	0.0404	0.25076	0.18742	0.02953	0.03336	0.00839	0.01197	0.12193	0.00551	0.01614	0.01853
0.05338	0.08228	0.00375	0.05812	0.04969	0.14765	0.12225	0.02133	0.02679	0.0059	0.01402	0.08492	0.01087	0.01023	0.01065
0.06109	0.07994	0.0016	0.06774	0.04098	0.14149	0.12606	0.03023	0.01958	0.00614	0.00643	0.09369	0.01134	0.01076	0.01325
0.0498	0.07512	0.02002	0.00948	0.07887	0.0796	0.148	0.02826	0.02057	0.00571	0.01795	0.10393	0.00802	0.00888	0.01242
0.07609	0.12095	0.01798	0.01954	0.0239	0.07716	0.13144	0.02394	0.02588	0.00976	0.01237	0.09108	0.00902	0.01833	0.01215
0.08546	0.13898	0.00512	0.03177	0.03366	0.11955	0.12828	0.03054	0.02673	0.01221	0.01034	0.05749	0.00811	0.01566	0.00894
0.056	0.10948	0.00751	0.01378	0.02525	0.09262	0.13254	0.01065	0.03792	0.01008	0.00395	0.09779	0.00222	0.01853	0.01052
0.09335	0.16766	0.00688	0.03269	0.00563	0.08907	0.11163	0.01364	0.01282	0.01003	0.006	0.08432	0.00603	0.01936	0.01513
0.10133	0.13674	0.00201	0.03008	0.01254	0.11108	0.11311	0.01556	0.01802	0.01165	0.00643	0.07153	0.00277	0.01371	0.01334
0.08337	0.11152	0.00954	0.01276	0.01494	0.09193	0.10832	0.01536	0.02468	0.01274	0.01395	0.06652	0.00132	0.01369	0.00925
0.06315	0.12792	0.00236	0.02415	0.01651	0.08294	0.12124	0.01539	0.0307	0.01066	0.00604	0.10043	0.00315	0.0108	0.00836
0.0683	0.14366	0.00619	0.01581	0.01469	0.06022	0.09805	0.02089	0.01904	0.01417	0.00708	0.11912	0.00666	0.01615	0.01053
0.06763	0.10573	0.0071	0.01893	0.01097	0.05306	0.10728	0.02181	0.02062	0.00192	0.00797	0.0848	0.00471	0.01274	0.00746
0.09599	0.11686	0.01242	0.0307	0.01328	0.07347	0.09923	0.04133	0.03003	0.01137	0.00812	0.12137	0.00361	0.01592	0.00977
0.0482	0.0657	0.00196	0.00718	0.02772	0.05222	0.13955	0.01699	0.05287	0.00522	0.00766	0.08376	0.00656	0.01957	0.01341
0.05223	0.06829	0.00454	0.01949	0.04065	0.07284	0.10341	0.02535	0.03412	0.00407	0.0119	0.09563	0.00498	0.02239	0.01181
0.05824	0.08486	0.00896	0.01553	0.01802	0.0945	0.11929	0.05437	0.0275	0.00359	0.01492	0.10942	0.00181	0.0251	0.00835
0.06244	0.07311	0.00603	0.04796	0.02008	0.08065	0.11479	0.01814	0.02133	0.00587	0.01883	0.07869	0.00134	0.02163	0.01224
0.05222	0.05242	0.00359	0.14121	0.02427	0.08346	0.10485	0.02529	0.03444	0.00221	0.01141	0.08186	0.00268	0.0155	0.01334
0.03737	0.05224	0.0016	0.08028	0.00746	0.06934	0.09925	0.01266	0.01714	0.00443	0.00397	0.08264	0.00889	0.02229	0.01812
0.04011	0.04581	0.00509	0.06447	0.00515	0.08462	0.10373	0.01615	0.0189	0.00237	0.00871	0.07231	0.00629	0.0139	0.01147
0.05309	0.06428	0.00989	0.09305	0.01076	0.10388	0.10744	0.02229	0.02031	0.00726	0.00527	0.09721	0.00952	0.01898	0.01232
0.09263	0.07603	0.00346	0.06768	0.02558	0.10368	0.09661	0.03352	0.01601	0.00565	0.00399	0.05583	0.00578	0.02244	0.01028
0.03751	0.05456	0.00769	0.03152	0.02046	0.10589	0.08793	0.0276	0.01989	0.0067	0.00596	0.08339	0.00378	0.01905	0.01125
0.06777	0.10435	0.01353	0.06933	0.01811	0.1195	0.09712	0.02817	0.02094	0.01377	0.00546	0.07298	0.00352	0.01844	0.01778
0.08113	0.09333	0.00586	0.08821	0.0148	0.07807	0.09476	0.01816	0.01679	0.00428	0.00453	0.06558	0.00284	0.01807	0.01741
0.05574	0.10128	0.00658	0.1098	0.02843	0.08655	0.10538	0.03947	0.03112	0.00604	0.00504	0.08662	0.0026	0.01611	0.01238
0.04964	0.07304	0.01138	0.02825	0.02942	0.07993	0.08866	0.03041	0.03085	0.00859	0.0082	0.07469	0.00562	0.01877	0.01579
0.02787	0.05743	0.01653	0.01824	0.01876	0.0689	0.08992	0.01996	0.03097	0.00438	0.00428	0.09731	0.00223	0.01015	0.01442
0.0312	0.07391	0.00734	0.03054	0.01031	0.06693	0.09654	0.01293	0.02466	0.00379	0.00822	0.1249	0.00227	0.01721	0.01281
0.03229	0.07434	0.01459	0.06793	0.02943	0.06465	0.10207	0.02787	0.03132	0.00549	0.00535	0.08693	0.00691	0.02046	0.01417
0.04787	0.08771	0.00592	0.03467	0.00744	0.08158	0.11474	0.02609	0.02604	0.00547	0.00954	0.08857	0.00219	0.01256	0.01013
0.06032	0.08979	0.00861	0.0401	0.02403	0.08073	0.1	0.03089	0.03691	0.00551	0.00946	0.09104	0.00752	0.01252	0.01467
0.05223	0.09255	0.00681	0.12863	0.01072	0.07631	0.10244	0.04694	0.02501	0.00664	0.00675	0.08686	0.00221	0.01158	0.01256
0.06462	0.11767	0.01175	0.02059	0.02417	0.07654	0.10439	0.00776	0.02548	0.01608	0.00651	0.07898	0.00647	0.01153	0.0106
0.08061	0.13716	0.00712	0.08306	0.0132	0.0732	0.1146	0.01705	0.01743	0.01093	0.00746	0.11352	0.00211	0.0181	0.01802
0.04747	0.07096	0.00508	0.08836	0.01358	0.0595	0.11155	0.01404	0.01521	0.0172	0.00533	0.09584	0.00483	0.0281	0.01649
0.05211	0.03741	0.01639	0.08302	0.02339	0.06091	0.16954	0.00961	0.01394	0.02163	0.02448	0.06962	0.01107	0.01745	0.01433
0.04206	0.05648	0.01087	0.03489	0.02133	0.05436	0.10326	0.02148	0.01676	0.01195	0.00336	0.07354	0.00646	0.01144	0.01451
0.07161	0.06826	0.01106	0.01011	0.02411	0.07474	0.09303	0.04866	0.02506	0.0103	0.0039	0.07666	0.00237	0.01475	0.01426
