mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.0281	0.01608	0.01253	0.00324	0.02512	0.01073	0.02547	0.00571	0.01254	0.01797	0.03258	0.00529	0.00233	0.00487	0.00439
0.01703	0.00216	0.00646	0.00479	0.01493	0.00818	0.0208	0.008	0.00114	0.00298	0.00985	0.00307	0.00128	0.0044	0.00453
0.01467	0.00241	0.00327	0.01066	0.0216	0.01239	0.01919	0.01096	0.00155	0.002	0.00576	0.00713	0.00146	0.00381	0.00227
0.01025	0.00992	0.00453	0.00824	0.02309	0.00948	0.01698	0.00931	0.00191	0.00104	0.0031	0.00322	0.00197	0.006	0.00552
0.0042	0.00408	0.00293	0.00321	0.04187	0.005	0.01497	0.00515	0.00135	0.00089	0.0028	0.00472	0.00305	0.00121	0.00165
0.00755	0.00371	0.00321	0.00306	0.03021	0.00591	0.01695	0.00919	0.0018	0.00099	0.00247	0.0078	0.00242	0.00266	0.00285
0.00564	0.00683	0.00243	0.00091	0.03777	0.00685	0.01673	0.01318	0.00118	0.00073	0.00219	0.01185	0.00079	0.00254	0.00105
0.00464	0.00494	0.00259	0.00692	0.02881	0.00451	0.01608	0.00775	0.00277	0.00078	0.00281	0.00635	0.00118	0.00557	0.00269
0.00378	0.00735	0.00249	0.00531	0.03364	0.00669	0.01864	0.01369	0.00396	0.00061	0.00343	0.00729	0.00163	0.00309	0.00476
0.00729	0.00332	0.00264	0.00493	0.038	0.00579	0.01858	0.00901	0.00335	0.00064	0.00313	0.01715	0.00065	0.00422	0.00478
0.00184	0.00377	0.00314	0.00672	0.0386	0.00852	0.02002	0.01375	0.0034	0.0007	0.00378	0.0343	0.00121	0.00494	0.00353
0.00735	0.00994	0.00305	0.00522	0.0397	0.00371	0.01424	0.0074	0.00418	0.0007	0.00332	0.0244	0.0012	0.00457	0.00475
0.00504	0.00572	0.00301	0.00201	0.03848	0.00278	0.01537	0.00302	0.00369	0.00062	0.00244	0.00939	0.00117	0.00217	0.00172
0.00934	0.01024	0.00402	0.00094	0.03279	0.00344	0.0153	0.00537	0.00383	0.00071	0.00174	0.00501	0.00148	0.00101	0.00157
0.00226	0.00687	0.00278	0.00126	0.02432	0.00797	0.02495	0.01085	0.00272	0.0011	0.00182	0.01174	0.00157	0.00247	0.00263
0.00332	0.00463	0.00248	0.00158	0.02917	0.00393	0.01514	0.00936	0.00475	0.00072	0.0033	0.00661	0.00138	0.00529	0.00999
0.00245	0.00449	0.00317	0.00394	0.03386	0.00276	0.01617	0.00383	0.00242	0.00081	0.00282	0.00798	0.0016	0.0019	0.0021
0.00394	0.00516	0.00298	0.00595	0.02965	0.0029	0.01423	0.00738	0.00645	0.00067	0.00186	0.01351	0.0016	0.00756	0.00793
0.00433	0.00473	0.00376	0.00333	0.01831	0.00736	0.01531	0.00897	0.00694	0.00079	0.00309	0.0086	0.0012	0.00438	0.00758
